,o,Run,avg_assort,p,issues,l_steps,n_agents,CI2,d
88,0.45,88,0.471051076717705,0.05,3,1000,100,True,1
89,0.45,89,0.473910195371441,0.05,3,1000,100,True,1
90,0.5,90,0.454674843374917,0.05,3,1000,100,True,1
91,0.5,91,0.415337205891781,0.05,3,1000,100,True,1
92,0.5,92,0.432545604450309,0.05,3,1000,100,True,1
93,0.5,93,0.445204140386671,0.05,3,1000,100,True,1
94,0.5,94,0.392752042161593,0.05,3,1000,100,True,1
95,0.5,95,0.424889330222072,0.05,3,1000,100,True,1
96,0.5,96,0.45580530123064,0.05,3,1000,100,True,1
97,0.5,97,0.433997824016586,0.05,3,1000,100,True,1
98,0.5,98,0.429042449714684,0.05,3,1000,100,True,1
99,0.5,99,0.630939880083184,0.05,3,1000,100,True,1
100,0.55,100,0.63566091926046,0.05,3,1000,100,True,1
101,0.55,101,0.39165855037452,0.05,3,1000,100,True,1
102,0.55,102,0.468613210278724,0.05,3,1000,100,True,1
103,0.55,103,0.413674935325016,0.05,3,1000,100,True,1
104,0.55,104,0.448380222852575,0.05,3,1000,100,True,1
105,0.55,105,0.493198721794464,0.05,3,1000,100,True,1
106,0.55,106,0.481335771156597,0.05,3,1000,100,True,1
107,0.55,107,0.45506192459618,0.05,3,1000,100,True,1
108,0.55,108,0.474443766315619,0.05,3,1000,100,True,1
109,0.55,109,0.397537971150237,0.05,3,1000,100,True,1
110,0.6,110,0.467454082722738,0.05,3,1000,100,True,1
111,0.6,111,0.499516643460643,0.05,3,1000,100,True,1
112,0.6,112,0.467055333199134,0.05,3,1000,100,True,1
113,0.6,113,0.412808075778966,0.05,3,1000,100,True,1
114,0.6,114,0.314641631251395,0.05,3,1000,100,True,1
115,0.6,115,0.416714371934392,0.05,3,1000,100,True,1
116,0.6,116,0.396689198563319,0.05,3,1000,100,True,1
117,0.6,117,0.254159786215253,0.05,3,1000,100,True,1
118,0.6,118,0.449965454960745,0.05,3,1000,100,True,1
119,0.6,119,0.439899940986448,0.05,3,1000,100,True,1
121,0.65,121,0.425760652703785,0.05,3,1000,100,True,1
122,0.65,122,0.493517617457143,0.05,3,1000,100,True,1
123,0.65,123,0.412556870442143,0.05,3,1000,100,True,1
124,0.65,124,0.430997761357297,0.05,3,1000,100,True,1
125,0.65,125,0.502246487030546,0.05,3,1000,100,True,1
126,0.65,126,0.518316679356612,0.05,3,1000,100,True,1
127,0.65,127,0.464141481361709,0.05,3,1000,100,True,1
128,0.65,128,0.449024466365926,0.05,3,1000,100,True,1
129,0.65,129,0.389607587443432,0.05,3,1000,100,True,1
130,0.7,130,0.470151979130799,0.05,3,1000,100,True,1
131,0.7,131,0.433465384743562,0.05,3,1000,100,True,1
132,0.7,132,0.521124470336653,0.05,3,1000,100,True,1
133,0.7,133,0.428041321733119,0.05,3,1000,100,True,1
134,0.7,134,0.449234077653492,0.05,3,1000,100,True,1
135,0.7,135,0.444596385590519,0.05,3,1000,100,True,1
136,0.7,136,0.417506588919021,0.05,3,1000,100,True,1
137,0.7,137,0.523792662490107,0.05,3,1000,100,True,1
138,0.7,138,0.473796783102596,0.05,3,1000,100,True,1
139,0.7,139,0.407465085934386,0.05,3,1000,100,True,1
140,0.75,140,0.412732255601862,0.05,3,1000,100,True,1
141,0.75,141,0.479854156812719,0.05,3,1000,100,True,1
142,0.75,142,0.551765490527313,0.05,3,1000,100,True,1
143,0.75,143,0.486559032432307,0.05,3,1000,100,True,1
144,0.75,144,0.421644976118783,0.05,3,1000,100,True,1
145,0.75,145,0.414141065420901,0.05,3,1000,100,True,1
146,0.75,146,0.510117610688042,0.05,3,1000,100,True,1
147,0.75,147,0.530959072136594,0.05,3,1000,100,True,1
148,0.75,148,0.476536482962332,0.05,3,1000,100,True,1
149,0.75,149,0.454756184686353,0.05,3,1000,100,True,1
150,0.8,150,0.574683464779134,0.05,3,1000,100,True,1
151,0.8,151,0.410824476907137,0.05,3,1000,100,True,1
152,0.8,152,0.367957508484398,0.05,3,1000,100,True,1
153,0.8,153,0.417892366065947,0.05,3,1000,100,True,1
154,0.8,154,0.498166524838364,0.05,3,1000,100,True,1
155,0.8,155,0.373522128442197,0.05,3,1000,100,True,1
156,0.8,156,0.552369652671334,0.05,3,1000,100,True,1
157,0.8,157,0.461372299244382,0.05,3,1000,100,True,1
158,0.8,158,0.502243580460032,0.05,3,1000,100,True,1
159,0.8,159,0.415336052177192,0.05,3,1000,100,True,1
160,0.85,160,0.479127765289644,0.05,3,1000,100,True,1
161,0.85,161,0.46170550137064,0.05,3,1000,100,True,1
162,0.85,162,0.334327032871889,0.05,3,1000,100,True,1
163,0.85,163,0.356799355700297,0.05,3,1000,100,True,1
164,0.85,164,0.412008625907474,0.05,3,1000,100,True,1
165,0.85,165,0.467712076401864,0.05,3,1000,100,True,1
166,0.85,166,0.460510939992833,0.05,3,1000,100,True,1
167,0.85,167,0.492495465467235,0.05,3,1000,100,True,1
168,0.85,168,0.344121075243966,0.05,3,1000,100,True,1
169,0.85,169,0.485089751783872,0.05,3,1000,100,True,1
170,0.9,170,0.477583122078398,0.05,3,1000,100,True,1
171,0.9,171,0.478756911758771,0.05,3,1000,100,True,1
172,0.9,172,0.355812579679625,0.05,3,1000,100,True,1
173,0.9,173,0.53942104201547,0.05,3,1000,100,True,1
174,0.9,174,0.413746519213299,0.05,3,1000,100,True,1
175,0.9,175,0.459670904970508,0.05,3,1000,100,True,1
176,0.9,176,0.452985273395527,0.05,3,1000,100,True,1
177,0.9,177,0.467055085213599,0.05,3,1000,100,True,1
178,0.9,178,0.432990514405265,0.05,3,1000,100,True,1
179,0.9,179,0.465839344300403,0.05,3,1000,100,True,1
180,0.95,180,0.48701153502553,0.05,3,1000,100,True,1
181,0.95,181,0.474628665388438,0.05,3,1000,100,True,1
182,0.95,182,0.477910018639011,0.05,3,1000,100,True,1
183,0.95,183,0.454953341060263,0.05,3,1000,100,True,1
184,0.95,184,0.362595042274572,0.05,3,1000,100,True,1
185,0.95,185,0.534335059347045,0.05,3,1000,100,True,1
186,0.95,186,0.452526424084687,0.05,3,1000,100,True,1
187,0.95,187,0.430653760207619,0.05,3,1000,100,True,1
188,0.95,188,0.429713102347367,0.05,3,1000,100,True,1
189,0.95,189,0.539522967359517,0.05,3,1000,100,True,1
