,o,Run,avg_assort,p,issues,l_steps,n_agents,CI2,d
79,0.19,79,0.03613421870406186,0.05,3,1000,100,True,1
80,0.21000000000000002,80,0.4371878151156825,0.05,3,1000,100,True,1
81,0.21000000000000002,81,0.5203645276562252,0.05,3,1000,100,True,1
82,0.21000000000000002,82,0.6587872443261905,0.05,3,1000,100,True,1
83,0.21000000000000002,83,0.416958581707826,0.05,3,1000,100,True,1
84,0.21000000000000002,84,0.05554611399859183,0.05,3,1000,100,True,1
85,0.21000000000000002,85,-0.00028918797224051937,0.05,3,1000,100,True,1
86,0.21000000000000002,86,0.3980200210304791,0.05,3,1000,100,True,1
87,0.21000000000000002,87,0.49319466794424033,0.05,3,1000,100,True,1
88,0.21000000000000002,88,0.3962443019700121,0.05,3,1000,100,True,1
89,0.21000000000000002,89,0.3701884557054869,0.05,3,1000,100,True,1
90,0.23000000000000004,90,0.4851822929739848,0.05,3,1000,100,True,1
91,0.23000000000000004,91,0.5014404622904998,0.05,3,1000,100,True,1
92,0.23000000000000004,92,0.4816050575072954,0.05,3,1000,100,True,1
93,0.23000000000000004,93,0.4488641924835524,0.05,3,1000,100,True,1
94,0.23000000000000004,94,-0.0003055043585416019,0.05,3,1000,100,True,1
95,0.23000000000000004,95,-0.004807471731426737,0.05,3,1000,100,True,1
96,0.23000000000000004,96,0.5276329857223178,0.05,3,1000,100,True,1
97,0.23000000000000004,97,0.4576107962123738,0.05,3,1000,100,True,1
98,0.23000000000000004,98,0.02409342575227119,0.05,3,1000,100,True,1
99,0.23000000000000004,99,0.4761456438661725,0.05,3,1000,100,True,1
100,0.25000000000000006,100,0.41527244651043516,0.05,3,1000,100,True,1
101,0.25000000000000006,101,0.42050753057910684,0.05,3,1000,100,True,1
102,0.25000000000000006,102,0.45642890539154624,0.05,3,1000,100,True,1
103,0.25000000000000006,103,0.40166846337869905,0.05,3,1000,100,True,1
104,0.25000000000000006,104,0.40573584113889233,0.05,3,1000,100,True,1
105,0.25000000000000006,105,0.4433850607764893,0.05,3,1000,100,True,1
106,0.25000000000000006,106,0.5190153370852203,0.05,3,1000,100,True,1
107,0.25000000000000006,107,0.49826179139938603,0.05,3,1000,100,True,1
108,0.25000000000000006,108,0.43356485853955146,0.05,3,1000,100,True,1
109,0.25000000000000006,109,0.5020549718454573,0.05,3,1000,100,True,1
110,0.27,110,0.4998624327548968,0.05,3,1000,100,True,1
111,0.27,111,0.5135355471455142,0.05,3,1000,100,True,1
112,0.27,112,0.4469132736219144,0.05,3,1000,100,True,1
113,0.27,113,0.08253739198174578,0.05,3,1000,100,True,1
114,0.27,114,0.5025993417849848,0.05,3,1000,100,True,1
115,0.27,115,0.5269508417213306,0.05,3,1000,100,True,1
116,0.27,116,0.4932805994289636,0.05,3,1000,100,True,1
117,0.27,117,0.41644774112788835,0.05,3,1000,100,True,1
118,0.27,118,0.42790007512702294,0.05,3,1000,100,True,1
119,0.27,119,0.47143985046840137,0.05,3,1000,100,True,1
120,0.29000000000000004,120,0.41476603881979207,0.05,3,1000,100,True,1
121,0.29000000000000004,121,0.3785668664428769,0.05,3,1000,100,True,1
122,0.29000000000000004,122,0.499338470470736,0.05,3,1000,100,True,1
123,0.29000000000000004,123,0.2842466128924049,0.05,3,1000,100,True,1
124,0.29000000000000004,124,0.352167277119783,0.05,3,1000,100,True,1
125,0.29000000000000004,125,0.4939146108463053,0.05,3,1000,100,True,1
126,0.29000000000000004,126,0.40600795698164155,0.05,3,1000,100,True,1
127,0.29000000000000004,127,-0.00028807525492322944,0.05,3,1000,100,True,1
128,0.29000000000000004,128,0.3479020974785709,0.05,3,1000,100,True,1
129,0.29000000000000004,129,0.44836925574626707,0.05,3,1000,100,True,1
130,0.31000000000000005,130,0.45687454752665824,0.05,3,1000,100,True,1
131,0.31000000000000005,131,0.5157763003752699,0.05,3,1000,100,True,1
132,0.31000000000000005,132,0.058244336849702684,0.05,3,1000,100,True,1
133,0.31000000000000005,133,0.4822863031337949,0.05,3,1000,100,True,1
134,0.31000000000000005,134,0.5127129342482926,0.05,3,1000,100,True,1
135,0.31000000000000005,135,0.45094499731257837,0.05,3,1000,100,True,1
136,0.31000000000000005,136,0.44501859261360516,0.05,3,1000,100,True,1
137,0.31000000000000005,137,0.47108248741660913,0.05,3,1000,100,True,1
138,0.31000000000000005,138,0.02238868696051667,0.05,3,1000,100,True,1
139,0.31000000000000005,139,0.5591863659210221,0.05,3,1000,100,True,1
140,0.33,140,0.6642145319584708,0.05,3,1000,100,True,1
141,0.33,141,0.4740687155817939,0.05,3,1000,100,True,1
142,0.33,142,0.4804950947084456,0.05,3,1000,100,True,1
143,0.33,143,0.4618813598008449,0.05,3,1000,100,True,1
144,0.33,144,0.5133724493949897,0.05,3,1000,100,True,1
145,0.33,145,0.35905376146830953,0.05,3,1000,100,True,1
146,0.33,146,0.3647304834660994,0.05,3,1000,100,True,1
147,0.33,147,0.5525199755997806,0.05,3,1000,100,True,1
148,0.33,148,0.41585202482255285,0.05,3,1000,100,True,1
149,0.33,149,0.4178319751905146,0.05,3,1000,100,True,1
150,0.35000000000000003,150,0.3410414549680925,0.05,3,1000,100,True,1
151,0.35000000000000003,151,0.5385390849578923,0.05,3,1000,100,True,1
152,0.35000000000000003,152,0.4447005509443381,0.05,3,1000,100,True,1
153,0.35000000000000003,153,0.440263118040126,0.05,3,1000,100,True,1
154,0.35000000000000003,154,0.34744714334583665,0.05,3,1000,100,True,1
155,0.35000000000000003,155,0.4352136644840381,0.05,3,1000,100,True,1
156,0.35000000000000003,156,0.5160987427566205,0.05,3,1000,100,True,1
157,0.35000000000000003,157,0.38114162256353734,0.05,3,1000,100,True,1
158,0.35000000000000003,158,0.4750447755455345,0.05,3,1000,100,True,1
159,0.35000000000000003,159,0.40493764841748,0.05,3,1000,100,True,1
160,0.37000000000000005,160,0.4522559893030162,0.05,3,1000,100,True,1
161,0.37000000000000005,161,0.498652992806539,0.05,3,1000,100,True,1
162,0.37000000000000005,162,0.5046086192893503,0.05,3,1000,100,True,1
163,0.37000000000000005,163,0.4976950396346341,0.05,3,1000,100,True,1
164,0.37000000000000005,164,0.47393875577426153,0.05,3,1000,100,True,1
165,0.37000000000000005,165,0.44828509466508265,0.05,3,1000,100,True,1
166,0.37000000000000005,166,0.4745595448423199,0.05,3,1000,100,True,1
167,0.37000000000000005,167,0.3909437661108269,0.05,3,1000,100,True,1
168,0.37000000000000005,168,0.4146262860409282,0.05,3,1000,100,True,1
169,0.37000000000000005,169,0.44752271797735615,0.05,3,1000,100,True,1
170,0.39000000000000007,170,0.40723164317842425,0.05,3,1000,100,True,1
171,0.39000000000000007,171,0.41710100534782474,0.05,3,1000,100,True,1
172,0.39000000000000007,172,0.42854636442127797,0.05,3,1000,100,True,1
173,0.39000000000000007,173,0.4661001187641804,0.05,3,1000,100,True,1
174,0.39000000000000007,174,0.42351743732663466,0.05,3,1000,100,True,1
175,0.39000000000000007,175,0.5439854951898642,0.05,3,1000,100,True,1
176,0.39000000000000007,176,0.44152727695633986,0.05,3,1000,100,True,1
177,0.39000000000000007,177,0.4624853601929393,0.05,3,1000,100,True,1
178,0.39000000000000007,178,0.36807376554146304,0.05,3,1000,100,True,1
179,0.39000000000000007,179,0.4865062621499763,0.05,3,1000,100,True,1
180,0.4100000000000001,180,0.4625378386149143,0.05,3,1000,100,True,1
181,0.4100000000000001,181,0.4672422414945654,0.05,3,1000,100,True,1
182,0.4100000000000001,182,0.39052516398407794,0.05,3,1000,100,True,1
183,0.4100000000000001,183,0.4327286143280964,0.05,3,1000,100,True,1
184,0.4100000000000001,184,0.5227133043776884,0.05,3,1000,100,True,1
185,0.4100000000000001,185,0.6259387057403849,0.05,3,1000,100,True,1
186,0.4100000000000001,186,0.45407449879827944,0.05,3,1000,100,True,1
187,0.4100000000000001,187,0.40326429409445924,0.05,3,1000,100,True,1
188,0.4100000000000001,188,0.417362664274685,0.05,3,1000,100,True,1
189,0.4100000000000001,189,0.5125505316476894,0.05,3,1000,100,True,1
190,0.43000000000000005,190,0.3431074199515239,0.05,3,1000,100,True,1
191,0.43000000000000005,191,0.4441305810616003,0.05,3,1000,100,True,1
192,0.43000000000000005,192,0.40893556669812775,0.05,3,1000,100,True,1
193,0.43000000000000005,193,0.4379659318807403,0.05,3,1000,100,True,1
194,0.43000000000000005,194,0.4288926020073855,0.05,3,1000,100,True,1
195,0.43000000000000005,195,0.38909121120299894,0.05,3,1000,100,True,1
196,0.43000000000000005,196,0.41494262822855427,0.05,3,1000,100,True,1
197,0.43000000000000005,197,0.5792271704767825,0.05,3,1000,100,True,1
198,0.43000000000000005,198,0.5251959162600838,0.05,3,1000,100,True,1
199,0.43000000000000005,199,0.471129329693936,0.05,3,1000,100,True,1
200,0.45000000000000007,200,0.5212906917646238,0.05,3,1000,100,True,1
201,0.45000000000000007,201,0.4709577937572617,0.05,3,1000,100,True,1
202,0.45000000000000007,202,0.35732867123191286,0.05,3,1000,100,True,1
203,0.45000000000000007,203,0.4878842106572769,0.05,3,1000,100,True,1
204,0.45000000000000007,204,0.40890249759898517,0.05,3,1000,100,True,1
205,0.45000000000000007,205,0.4284639949087546,0.05,3,1000,100,True,1
206,0.45000000000000007,206,0.39794425234566266,0.05,3,1000,100,True,1
207,0.45000000000000007,207,0.43461801425434077,0.05,3,1000,100,True,1
208,0.45000000000000007,208,0.45540787156166146,0.05,3,1000,100,True,1
209,0.45000000000000007,209,0.3923781073038917,0.05,3,1000,100,True,1
210,0.4700000000000001,210,0.3826475447749648,0.05,3,1000,100,True,1
211,0.4700000000000001,211,0.43557451392748553,0.05,3,1000,100,True,1
212,0.4700000000000001,212,0.4996680273502201,0.05,3,1000,100,True,1
213,0.4700000000000001,213,0.40137227376097545,0.05,3,1000,100,True,1
214,0.4700000000000001,214,0.398887807319162,0.05,3,1000,100,True,1
215,0.4700000000000001,215,0.5493280377701649,0.05,3,1000,100,True,1
216,0.4700000000000001,216,0.5299332330918056,0.05,3,1000,100,True,1
217,0.4700000000000001,217,0.4170384119819563,0.05,3,1000,100,True,1
218,0.4700000000000001,218,0.4031872200230162,0.05,3,1000,100,True,1
219,0.4700000000000001,219,0.539079875299407,0.05,3,1000,100,True,1
220,0.49000000000000005,220,0.40608848491075283,0.05,3,1000,100,True,1
221,0.49000000000000005,221,0.4224228509612842,0.05,3,1000,100,True,1
222,0.49000000000000005,222,0.45114689955027254,0.05,3,1000,100,True,1
223,0.49000000000000005,223,0.36574763425757556,0.05,3,1000,100,True,1
224,0.49000000000000005,224,0.5102971055357687,0.05,3,1000,100,True,1
225,0.49000000000000005,225,0.3867373680613932,0.05,3,1000,100,True,1
226,0.49000000000000005,226,0.4170813267054873,0.05,3,1000,100,True,1
227,0.49000000000000005,227,0.5146790514022087,0.05,3,1000,100,True,1
228,0.49000000000000005,228,0.4216859625211911,0.05,3,1000,100,True,1
229,0.49000000000000005,229,0.4629884574904694,0.05,3,1000,100,True,1
