,m,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
201,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
202,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
203,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
204,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
205,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
206,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
207,21,4,2,0.33515151515151514,4,1500,True,0.55,0.1,100
195,20,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
120,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
119,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
118,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
31,4,4,3,0.07757575757575758,4,1500,True,0.55,0.1,100
32,4,4,2,0.07757575757575758,4,1500,True,0.55,0.1,100
33,4,4,3,0.07757575757575758,4,1500,True,0.55,0.1,100
34,4,4,3,0.07757575757575758,4,1500,True,0.55,0.1,100
35,4,4,2,0.07757575757575758,4,1500,True,0.55,0.1,100
36,4,4,2,0.07757575757575758,4,1500,True,0.55,0.1,100
37,4,4,2,0.07757575757575758,4,1500,True,0.55,0.1,100
38,4,4,3,0.07757575757575758,4,1500,True,0.55,0.1,100
39,4,4,2,0.07757575757575758,4,1500,True,0.55,0.1,100
40,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
41,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
42,5,4,3,0.09595959595959595,4,1500,True,0.55,0.1,100
30,3,4,2,0.058787878787878785,4,1500,True,0.55,0.1,100
43,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
45,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
46,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
47,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
48,6,4,2,0.11393939393939394,4,1500,True,0.55,0.1,100
49,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
50,6,4,3,0.11393939393939394,4,1500,True,0.55,0.1,100
51,5,4,3,0.09595959595959595,4,1500,True,0.55,0.1,100
52,6,4,2,0.11393939393939394,4,1500,True,0.55,0.1,100
53,6,4,3,0.11393939393939394,4,1500,True,0.55,0.1,100
54,6,4,3,0.11393939393939394,4,1500,True,0.55,0.1,100
55,6,4,2,0.11393939393939394,4,1500,True,0.55,0.1,100
56,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
44,5,4,2,0.09595959595959595,4,1500,True,0.55,0.1,100
57,6,4,3,0.11393939393939394,4,1500,True,0.55,0.1,100
29,4,4,2,0.07757575757575758,4,1500,True,0.55,0.1,100
27,3,4,3,0.058787878787878785,4,1500,True,0.55,0.1,100
1,1,4,21,0.02,4,1500,True,0.55,0.1,100
2,1,4,28,0.02,4,1500,True,0.55,0.1,100
3,1,4,15,0.02,4,1500,True,0.55,0.1,100
4,1,4,30,0.02,4,1500,True,0.55,0.1,100
5,1,4,29,0.02,4,1500,True,0.55,0.1,100
6,1,4,24,0.02,4,1500,True,0.55,0.1,100
7,1,4,25,0.02,4,1500,True,0.55,0.1,100
8,2,4,2,0.039595959595959594,4,1500,True,0.55,0.1,100
9,2,4,2,0.039595959595959594,4,1500,True,0.55,0.1,100
10,2,4,2,0.039595959595959594,4,1500,True,0.55,0.1,100
11,2,4,3,0.039595959595959594,4,1500,True,0.55,0.1,100
12,2,4,4,0.039595959595959594,4,1500,True,0.55,0.1,100
28,3,4,4,0.058787878787878785,4,1500,True,0.55,0.1,100
13,2,4,5,0.039595959595959594,4,1500,True,0.55,0.1,100
15,3,4,2,0.058787878787878785,4,1500,True,0.55,0.1,100
16,2,4,4,0.039595959595959594,4,1500,True,0.55,0.1,100
17,3,4,2,0.058787878787878785,4,1500,True,0.55,0.1,100
18,3,4,2,0.058787878787878785,4,1500,True,0.55,0.1,100
19,1,4,33,0.02,4,1500,True,0.55,0.1,100
20,1,4,33,0.02,4,1500,True,0.55,0.1,100
21,2,4,3,0.039595959595959594,4,1500,True,0.55,0.1,100
22,2,4,2,0.039595959595959594,4,1500,True,0.55,0.1,100
23,3,4,2,0.058787878787878785,4,1500,True,0.55,0.1,100
24,3,4,2,0.058787878787878785,4,1500,True,0.55,0.1,100
25,3,4,3,0.058787878787878785,4,1500,True,0.55,0.1,100
26,3,4,2,0.058787878787878785,4,1500,True,0.55,0.1,100
14,2,4,3,0.039595959595959594,4,1500,True,0.55,0.1,100
58,6,4,2,0.11393939393939394,4,1500,True,0.55,0.1,100
59,6,4,2,0.11393939393939394,4,1500,True,0.55,0.1,100
60,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
92,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
93,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
94,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
95,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
96,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
97,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
98,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
99,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
100,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
101,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
102,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
103,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
91,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
104,11,4,3,0.19777777777777777,4,1500,True,0.55,0.1,100
106,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
107,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
108,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
109,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
110,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
111,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
112,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
113,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
114,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
115,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
116,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
117,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
105,11,4,2,0.19777777777777777,4,1500,True,0.55,0.1,100
90,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
89,10,4,2,0.18181818181818182,4,1500,True,0.55,0.1,100
88,9,4,3,0.16545454545454547,4,1500,True,0.55,0.1,100
61,7,4,5,0.1315151515151515,4,1500,True,0.55,0.1,100
62,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
63,6,4,2,0.11393939393939394,4,1500,True,0.55,0.1,100
64,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
65,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
66,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
67,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
68,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
69,7,4,4,0.1315151515151515,4,1500,True,0.55,0.1,100
70,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
71,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
72,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
73,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
74,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
75,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
76,8,4,3,0.1486868686868687,4,1500,True,0.55,0.1,100
77,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
78,7,4,2,0.1315151515151515,4,1500,True,0.55,0.1,100
79,8,4,2,0.1486868686868687,4,1500,True,0.55,0.1,100
80,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
81,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
82,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
83,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
84,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
85,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
86,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
87,9,4,2,0.16545454545454547,4,1500,True,0.55,0.1,100
238,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
239,24,4,2,0.36848484848484847,4,1500,True,0.55,0.1,100
